homeName,awayName,outcome1,outcomeX,outcome2,outcomeOver,outcomeUnder,outcomeGG,outcomeNG,homeId,awayId
Cagliari,Fiorentina,2.95,3.1,2.6,2.1,1.64,1.86,1.88,3,6
Genoa,Lazio,3.7,3.15,2.2,2.25,1.58,1.99,1.76,7,11
Pisa,Ac Milan,5.0,4.25,1.65,1.61,2.2,1.67,2.15,15,0
Como,Genoa,1.78,3.75,4.75,1.89,1.81,1.86,1.88,4,7
Fiorentina,Sassuolo,2.1,3.25,4.0,2.25,1.57,2.0,1.74,6,17
Inter Milan,Roma,1.81,3.85,4.45,1.73,1.99,1.71,2.05,9,16
Juventus,Cremonese,1.23,6.6,13.0,1.53,2.35,2.15,1.64,10,5
Napoli,Torino,1.37,4.85,9.7,1.92,1.79,2.4,1.53,13,18
Atalanta,Lecce,1.28,5.9,11.0,1.56,2.25,2.1,1.67,1,12
Udinese,Bologna,5.0,3.55,1.79,2.25,1.57,2.1,1.67,19,2
Lazio,Parma,1.4,5.1,7.9,1.6,2.2,1.91,1.83,11,14
Hellas Verona,Cagliari,2.45,2.75,3.75,2.35,1.53,1.92,1.82,8,3
Torino,Pisa,2.55,3.0,3.1,2.2,1.61,1.89,1.85,18,15
Cagliari,Udinese,2.55,2.95,3.2,2.25,1.56,1.91,1.83,3,19
Parma,Como,3.3,3.45,2.25,1.72,2.0,1.6,2.25,14,4
Lecce,Napoli,7.3,4.25,1.5,2.0,1.72,2.25,1.61,12,13
Inter Milan,Hellas Verona,1.48,4.45,7.1,1.83,1.87,2.1,1.69,9,8
Sassuolo,Lazio,4.55,3.65,1.84,2.1,1.65,1.97,1.78,17,11
Cremonese,Atalanta,12.0,6.9,1.23,1.42,2.65,1.98,1.77,5,1
Roma,Fiorentina,1.78,3.7,4.85,1.97,1.74,1.92,1.83,16,6
Bologna,Juventus,2.35,3.05,3.5,2.4,1.51,2.05,1.71,2,10
Genoa,Ac Milan,4.65,3.9,1.76,1.74,1.98,1.72,2.05,7,0
