homeName,awayName,outcome1,outcomeX,outcome2,outcomeOver,outcomeUnder,outcomeGG,outcomeNG,homeId,awayId
Cagliari,Cremonese,1.75,3.5,5.0,1.9,1.8,1.82,1.88,3,5
Fiorentina,Atalanta,3.55,3.4,2.05,1.78,1.89,1.66,2.04,6,1
Inter Milan,Udinese,1.43,4.45,7.5,1.82,1.85,2.0,1.7,9,19
Napoli,Ac Milan,1.92,3.55,4.0,1.8,1.87,1.67,2.04,13,0
Hellas Verona,Parma,2.85,2.95,2.7,2.2,1.57,1.81,1.86,8,14
Lazio,Torino,1.77,3.5,4.9,2.12,1.62,2.0,1.7,11,18
Genoa,Udinese,2.45,2.9,3.25,2.51,1.44,2.06,1.65,7,19
Cremonese,Como,5.0,3.85,1.68,1.81,1.86,1.79,1.88,5,4
Parma,Inter Milan,7.5,4.6,1.4,1.66,2.05,1.83,1.84,14,9
Ac Milan,Fiorentina,1.75,3.55,4.4,1.81,1.86,1.75,1.93,0,6
